Season,Year,Month,Holiday,Weekday,Workingday,Weather,Temperature,Humidity,Windspeed
4,0,11,0,2,1,1,0.408333,0.7216670000000001,0.0690375
3,0,8,0,4,1,1,0.7175,0.42375,0.164796
4,0,11,1,5,0,1,0.324167,0.44625,0.314675
3,0,6,0,2,1,1,0.744167,0.634167,0.144283
4,1,11,0,6,0,2,0.343333,0.49125,0.270529
3,0,9,0,6,0,1,0.669167,0.716667,0.185325
2,0,5,0,2,1,1,0.5325,0.489167,0.11567100000000001
4,0,11,0,3,1,1,0.3775,0.71875,0.08209169999999999
3,1,7,0,2,1,2,0.720833,0.6675,0.15173699999999998
2,0,3,0,3,1,2,0.346957,0.839565,0.23426100000000002
1,1,1,0,6,0,1,0.315833,0.543333,0.210829
3,1,7,0,5,1,2,0.665833,0.844167,0.208967
1,0,1,0,5,1,1,0.1775,0.457083,0.353242
1,0,1,0,3,1,2,0.292174,0.741739,0.208317
1,0,1,0,0,0,1,0.231667,0.48375,0.188433
1,1,2,0,3,1,1,0.469167,0.507917,0.189067
2,0,5,0,3,1,2,0.55,0.87,0.201492
2,0,4,0,1,1,2,0.5956520000000001,0.716956,0.324474
2,1,4,0,4,1,2,0.49833299999999997,0.756667,0.176625
1,1,3,0,5,1,2,0.43583299999999997,0.842083,0.113192
1,0,12,0,4,1,2,0.423333,0.7575,0.047275
4,0,11,0,5,1,2,0.403333,0.6225,0.271779
2,1,5,0,3,1,2,0.575,0.744167,0.216412
3,0,9,0,3,1,1,0.673333,0.697083,0.1673
3,0,8,0,2,1,1,0.639167,0.548333,0.12500799999999998
4,0,12,0,1,1,2,0.385833,0.827083,0.06220830000000001
2,0,4,0,6,0,1,0.4725,0.503333,0.235075
2,0,6,0,6,0,1,0.725,0.654583,0.15485
2,1,3,0,4,1,1,0.554167,0.83125,0.11756199999999999
4,1,10,0,5,1,2,0.563333,0.815,0.134954
4,1,10,0,6,0,2,0.53,0.72,0.235692
4,0,12,0,5,1,1,0.290833,0.695833,0.08271669999999999
3,0,8,0,2,1,1,0.783333,0.49125,0.20585
3,0,7,0,5,1,1,0.663333,0.59125,0.182833
2,0,5,0,0,0,1,0.604167,0.749583,0.148008
3,0,7,0,3,1,1,0.768333,0.707083,0.113817
2,0,5,0,0,0,1,0.5283329999999999,0.631667,0.0746375
1,1,2,0,4,1,2,0.31666700000000003,0.7529170000000001,0.091425
4,1,10,0,0,0,1,0.464167,0.51,0.166054
4,1,10,0,2,1,3,0.5908329999999999,0.871667,0.104475
1,0,12,0,6,0,1,0.3025,0.5425,0.190304
3,0,8,0,4,1,2,0.71,0.7575,0.19715
2,1,6,0,1,1,2,0.568333,0.777917,0.174746
3,0,8,0,3,1,1,0.656667,0.597917,0.08333330000000001
1,1,1,0,5,1,1,0.274167,0.5075,0.378108
3,0,7,0,6,0,1,0.733333,0.609167,0.16791199999999998
1,0,1,0,2,1,1,0.2,0.590435,0.160296
3,0,8,0,0,0,1,0.707059,0.561765,0.304659
1,1,1,0,3,1,1,0.294167,0.64375,0.161071
1,0,1,0,6,0,2,0.344167,0.805833,0.160446
3,1,9,0,4,1,1,0.546667,0.618333,0.11816700000000001
3,0,9,0,5,1,2,0.469167,0.590417,0.164183
3,0,7,0,4,1,1,0.779167,0.583333,0.178479
1,1,12,0,3,1,3,0.243333,0.823333,0.316546
1,0,2,0,4,1,1,0.18695699999999998,0.43782600000000005,0.277752
4,0,10,0,4,1,1,0.475833,0.63625,0.422275
3,1,7,0,0,0,1,0.8225,0.57375,0.125629
2,1,3,0,3,1,1,0.484167,0.48125,0.291671
4,1,9,0,0,0,1,0.529167,0.46708299999999997,0.22325799999999998
1,1,2,0,4,1,2,0.399167,0.672917,0.187187
3,0,6,0,1,1,2,0.6825,0.658333,0.10758800000000002
4,0,10,0,6,0,1,0.521667,0.70125,0.0454042
4,0,11,0,0,0,1,0.459167,0.698333,0.208954
4,0,11,0,0,0,2,0.463333,0.6845829999999999,0.18595
3,1,8,0,0,0,2,0.635833,0.711667,0.08645
2,1,4,0,3,1,1,0.541667,0.469583,0.180975
2,0,4,0,2,1,2,0.505833,0.665833,0.157971
4,1,12,0,0,0,2,0.3475,0.823333,0.12437899999999999
3,0,9,0,1,1,1,0.6443479999999999,0.692174,0.088913
2,0,4,0,0,0,1,0.456667,0.479583,0.303496
4,1,11,0,0,0,1,0.325833,0.532917,0.179108
2,0,5,0,4,1,1,0.459167,0.44416700000000003,0.295392
4,1,12,0,3,1,2,0.2975,0.538333,0.162937
2,1,5,0,0,0,1,0.620833,0.530417,0.254367
2,0,5,0,0,0,2,0.451667,0.762083,0.10635399999999999
1,0,3,0,1,1,1,0.261739,0.551304,0.341352
1,0,2,0,1,1,2,0.407273,0.8763639999999999,0.289686
2,0,6,0,1,1,1,0.635,0.494583,0.30535
2,1,4,0,0,0,1,0.606667,0.507917,0.225129
3,0,8,0,5,1,1,0.710833,0.630833,0.184696
4,0,11,0,4,1,2,0.38,0.813333,0.189067
4,1,12,0,6,0,2,0.38166700000000003,0.91125,0.101379
2,0,4,0,6,0,2,0.46,0.887917,0.230725
3,1,7,0,6,0,3,0.595833,0.865417,0.2133
2,1,4,0,0,0,1,0.5,0.275833,0.232596
3,1,8,0,3,1,1,0.685,0.552083,0.112562
1,0,3,0,0,0,1,0.3325,0.47375,0.20772100000000002
2,0,5,0,1,1,1,0.5325,0.58875,0.17600000000000002
4,0,10,0,2,1,1,0.484167,0.71,0.205854
4,0,11,0,1,1,1,0.395,0.75875,0.057225
3,0,7,0,0,0,1,0.83,0.550833,0.16917100000000002
4,1,11,0,1,1,1,0.313333,0.535417,0.04665
1,0,12,0,3,1,1,0.29913,0.503913,0.29396100000000003
2,1,4,0,5,1,1,0.403333,0.377083,0.300388
2,1,6,0,5,1,1,0.639167,0.589583,0.176617
4,1,12,0,3,1,1,0.3325,0.625417,0.184092
1,1,2,0,4,1,1,0.454167,0.554583,0.190913
4,0,12,0,3,1,2,0.3175,0.66375,0.06095830000000001
4,1,10,0,2,1,2,0.446667,0.761667,0.1903
3,0,8,0,5,1,1,0.708333,0.415,0.125621
4,0,12,0,5,1,1,0.31416700000000003,0.625833,0.100754
4,1,11,0,4,1,1,0.28087,0.555652,0.115522
3,0,8,0,3,1,1,0.723333,0.575417,0.14366700000000002
2,0,5,0,0,0,1,0.6675,0.81875,0.21393800000000002
2,0,6,0,1,1,1,0.678333,0.6,0.121896
3,0,7,0,0,0,2,0.716667,0.6825,0.228858
1,1,3,0,0,0,1,0.325833,0.403333,0.334571
2,1,3,0,5,1,2,0.601667,0.694167,0.1163
4,0,12,0,3,1,3,0.41,0.970417,0.266175
1,0,3,0,6,0,1,0.329167,0.594583,0.220775
3,0,6,0,3,1,1,0.728333,0.497917,0.261821
3,1,6,0,4,1,1,0.805833,0.567917,0.11878699999999999
4,1,12,0,2,1,2,0.353333,0.5966670000000001,0.296037
4,0,10,0,3,1,2,0.484167,0.720417,0.148642
3,1,7,0,1,1,1,0.781667,0.447083,0.195267
3,1,9,0,0,0,1,0.61,0.5475,0.224496
2,0,4,0,0,0,1,0.378333,0.48,0.182213
4,0,10,0,4,1,1,0.494167,0.620833,0.134954
1,0,1,0,6,0,1,0.196522,0.6517390000000001,0.14536500000000002
4,0,12,0,4,1,2,0.4225,0.634167,0.268042
4,0,10,0,0,0,1,0.511667,0.486667,0.281717
1,1,2,0,2,1,1,0.287826,0.594348,0.205717
1,1,1,0,3,1,2,0.1075,0.414583,0.1847
1,1,12,1,2,0,2,0.291304,0.734783,0.168726
2,1,6,0,1,1,2,0.720833,0.587917,0.207713
3,1,8,0,5,1,2,0.765833,0.6425,0.215792
1,0,2,1,1,0,2,0.303333,0.605,0.307846
3,1,9,0,6,0,2,0.6591670000000001,0.799167,0.281104
2,0,4,0,2,1,2,0.414167,0.642083,0.388067
2,1,3,0,5,1,2,0.37,0.580833,0.138067
4,1,10,0,3,1,1,0.455833,0.692917,0.101371
4,1,12,0,5,1,1,0.281667,0.642917,0.13122899999999998
3,0,9,0,4,1,1,0.655,0.639167,0.141796
2,1,5,0,2,1,2,0.611667,0.794583,0.147392
4,0,9,0,1,1,2,0.649167,0.848333,0.1107
4,1,10,0,6,0,1,0.484167,0.572917,0.11753699999999999
3,1,6,0,2,1,1,0.630833,0.37333299999999997,0.347642
1,0,2,0,6,0,1,0.2825,0.537917,0.18657100000000001
2,0,6,0,5,1,1,0.755,0.605,0.14055399999999998
1,1,3,0,6,0,2,0.414167,0.62125,0.161079
4,0,10,0,5,1,2,0.550833,0.71625,0.223883
3,0,8,0,3,1,2,0.731667,0.6575,0.13558299999999998
3,1,8,0,1,1,2,0.7525,0.654167,0.129354
1,0,1,0,3,1,3,0.2175,0.8625,0.29385
1,1,2,0,6,0,1,0.290833,0.395833,0.421642
1,0,2,0,3,1,2,0.134783,0.494783,0.188839
3,1,9,0,5,1,1,0.599167,0.66875,0.154229
2,1,4,0,3,1,1,0.348696,0.46956499999999995,0.295274
1,0,1,0,4,1,1,0.204348,0.518261,0.0895652
3,1,6,0,5,1,1,0.834167,0.48875,0.165417
3,1,7,0,3,1,1,0.724167,0.45,0.1648
4,1,12,0,5,1,2,0.320833,0.764167,0.1306
2,1,5,0,6,0,1,0.564167,0.480417,0.12313299999999999
2,1,3,0,0,0,2,0.4375,0.880833,0.220775
3,1,9,1,1,0,1,0.7075,0.790833,0.151121
2,0,6,0,5,1,1,0.62,0.354167,0.253121
3,1,8,0,3,1,1,0.6675,0.677083,0.0702833
1,0,12,0,2,1,2,0.325,0.7625,0.18845
3,1,7,0,1,1,1,0.763333,0.645,0.164187
2,1,6,0,4,1,1,0.648333,0.569583,0.253733
4,0,11,0,3,1,2,0.440833,0.757917,0.335825
1,1,3,0,4,1,1,0.5275,0.5675,0.441563
3,1,8,0,5,1,1,0.764167,0.5875,0.168533
3,0,7,1,1,0,2,0.726667,0.637917,0.08147919999999999
1,0,1,0,1,1,2,0.180833,0.60375,0.187192
3,1,6,0,0,0,1,0.743333,0.479167,0.145525
3,1,7,0,0,0,1,0.815833,0.51875,0.16852899999999998
2,0,5,0,2,1,1,0.775,0.636667,0.111329
3,1,8,0,3,1,1,0.706667,0.619583,0.169771
2,0,4,0,5,1,2,0.335833,0.83625,0.226992
2,1,6,0,0,0,1,0.726667,0.538333,0.133721
4,1,10,0,1,1,2,0.520833,0.649167,0.09080419999999999
2,1,6,0,3,1,1,0.655833,0.582083,0.343279
1,0,3,0,0,0,2,0.37652199999999997,0.948261,0.343287
1,1,1,0,0,0,2,0.1625,0.79625,0.199638
1,1,2,0,0,0,1,0.1275,0.46458299999999997,0.40921199999999996
3,0,7,0,0,0,1,0.805833,0.480833,0.16481300000000002
4,1,9,0,1,1,1,0.514167,0.492917,0.142404
1,0,2,0,0,0,1,0.285217,0.407826,0.223235
3,0,7,0,6,0,1,0.686667,0.585,0.208342
1,1,1,0,1,1,2,0.218333,0.91125,0.11070799999999999
4,1,10,0,3,1,2,0.6575,0.79375,0.0665458
4,1,11,0,2,1,2,0.291667,0.786667,0.237562
4,1,11,0,5,1,1,0.36833299999999997,0.56875,0.148021
4,1,11,0,2,1,2,0.343333,0.662917,0.342046
1,1,1,0,5,1,2,0.2175,0.45,0.20275
